lrd,lrg,type,epochs,ticker,hid_g,hid_d,RMSE,MAE,PnL_w,SR_w scaled,Close-to-Open SR_w,Open-to-Close SR_w,Corr,Pos mn,Neg mn,narrow dist,narrow means dist,RMSE val,MAE val,PnL_w val,SR_w scaled val,Corr val,Pos mn val,Neg mn val
0.0002,0.0002,FlowFMPlusAux,300,AMZN,8,64,0.010669502429664135,0.007106744218617678,0.2886213958263397,0.29125442666555085,0.5109672128429493,-0.06343978438864954,0.0033859898816029467,0.8087431693989071,0.1912568306010929,False,False,0.008945363573729992,0.005726631730794907,1.063952088356018,1.227727213775825,0.05043331059795854,0.8395624430264357,0.16043755697356427
0.0002,0.0002,FlowFMPlusAux,300,HD,8,64,0.008887357078492641,0.0061005703173577785,0.5129916667938232,0.6171709111470622,-0.6494279202036737,1.2118862636401118,0.03001045062316069,0.9408014571948998,0.05919854280510018,False,False,0.006222870200872421,0.004453191999346018,0.2724607586860657,0.44706697921110744,0.007364511554705299,0.9653600729261622,0.03463992707383774
0.0002,0.0002,FlowFMPlusAux,300,NKE,8,64,0.010781816206872463,0.006660945247858763,-0.08567456901073456,-0.08243207933428615,-0.3507348975382431,0.24089022838956062,0.014781749593782891,0.1366120218579235,0.8633879781420765,False,False,0.008684494532644749,0.00557624502107501,0.284108430147171,0.3779548702624652,0.05831239409141576,0.09845031905195989,0.9015496809480401
0.0002,0.0002,FlowFMPlusAux,300,CL,8,64,0.006651440169662237,0.004227245692163706,0.740100085735321,1.4397698524419413,0.42265877099637394,1.4645292761914008,0.11100950595891164,0.8123861566484517,0.18761384335154827,False,False,0.005744928494095802,0.0038419817574322224,-0.03805146738886833,-0.08966922463218838,0.002697080187552306,0.8113035551504102,0.18869644484958978
0.0002,0.0002,FlowFMPlusAux,300,EL,8,64,0.011949882842600346,0.007590681314468384,-0.7263843417167664,-0.5270930266309233,-0.6004534893090125,-0.2292804230726013,-0.06049551915508243,0.8642987249544627,0.13570127504553733,False,False,0.010226191021502018,0.006171818356961012,0.6188144087791443,0.6045032604882642,-0.006858583937246586,0.9161349134001823,0.08386508659981769
0.0002,0.0002,FlowFMPlusAux,300,KO,8,64,0.007183883339166641,0.004439634270966053,0.6860908269882202,1.2707354158664041,0.45518145370002305,1.0182737178174672,0.09502541875605068,0.7222222222222222,0.2777777777777778,False,False,0.004913650918751955,0.0032780724577605724,0.1442766636610031,0.5420792083984046,0.03178326659213712,0.7930720145852325,0.20692798541476753
0.0002,0.0002,FlowFMPlusAux,300,PEP,8,64,0.005854417569935322,0.003833739785477519,2.935216188430786,2.495734396357324,0.797325793122088,1.756985783708,0.12538687081456226,0.2896174863387978,0.7103825136612022,False,False,0.005065397825092077,0.0035251297522336245,2.1440865993499756,2.1658094184273637,0.11841660953913653,0.30446672743846853,0.6955332725615314
0.0002,0.0002,FlowFMPlusAux,300,APA,8,64,0.02656010165810585,0.016233066096901894,-0.5084493160247803,-0.10919555022008831,-0.3474453639927127,0.07647769274452111,-0.02432855718525374,0.6785063752276868,0.3214936247723133,False,False,0.01246707048267126,0.008384790271520615,-0.9876477122306824,-0.6367383296621709,-0.006650569446767417,0.7493163172288059,0.2506836827711942
0.0002,0.0002,FlowFMPlusAux,300,OXY,8,64,0.020947184413671494,0.01321989856660366,-2.1408674716949463,-0.5101886722612573,-0.8722314503963816,0.01791894273420769,-0.028533821929293754,0.7295081967213115,0.27049180327868855,False,False,0.008201786316931248,0.0050432938151061535,1.040015697479248,0.7206849335881661,0.09076867559453922,0.8486782133090246,0.15132178669097537
0.0002,0.0002,FlowFMPlusAux,300,WFC,8,64,0.010803953744471073,0.006923846434801817,-0.05313115939497948,-0.030436756486855385,0.24076283218385536,-0.2045202601087649,0.0243051540327013,0.8706739526411658,0.12932604735883424,False,False,0.006260614842176437,0.004139699507504702,0.05166016146540642,0.0564011625037925,0.06334843137434554,0.959890610756609,0.040109389243391066
